seed,DX,D_diff,time,error
12,0.11,30.0,0.08,0.42992252325934954
12,0.11,30.0,0.1,0.4235322008538118
12,0.11,30.0,0.12,0.4094511501384048
12,0.11,30.0,0.14,0.3985838905435454
12,0.11,30.0,0.16,0.40150877034202287
12,0.11,30.0,0.18,0.3979417323720848
12,0.11,30.0,0.2,0.3970101458611075
12,0.11,30.0,0.22,0.39913425130744873
12,0.11,30.0,0.24,0.39117652403154557
12,0.11,30.0,0.26,0.3862690675863134
12,0.11,30.0,0.28,0.3822968858051819
12,0.11,30.0,0.3,0.3815814246703034
12,0.11,30.0,0.32,0.37944813525943466
12,0.11,30.0,0.34,0.3821165378395204
12,0.11,30.0,0.36,0.37694465513789605
12,0.11,30.0,0.38,0.37306472224360177
12,0.11,30.0,0.4,0.3823194025603609
12,0.11,30.0,0.42,0.3919242804214937
